puzzle,category,time,date,scramble,penalty,comment
"333","Normal","13290","1642430437435","R2 U2 F2 U' B2 D' B2 F2 D F2 U' L' B F2 R B L2 B L2 F2 D'","0",""
"333","Normal","18700","1642494915202","R2 B L2 B' U2 L2 R2 F2 D2 F' D2 L' B' D U2 L2 F L2 U R' B'","0",""
"333","Normal","23760","1642494974372","R2 D' F' D2 L' F2 U B D' B' L D R2 U2 D F2 B2 U' R2 L2","0",""
"333","Normal","24790","1642495038085","U B2 R2 U2 B2 D2 U' F2 U' L D' B R2 B2 R D' L' R F' L","0",""
"333","Normal","17020","1642495086154","L2 U L2 U B L D2 F' R' L U' L2 D2 R2 D F2 U R2 F2 D","0",""
"333","Normal","20090","1642495130381","R2 D' B' U F R U' D2 L2 D' F2 L F2 B2 D2 R' B2 L D2 L2 D2","0",""
"333","Normal","22930","1642495238954","D2 L2 D2 F' R2 U2 B F' U B F2 L' F2 L U2 B2 L2 U' L'","0",""
"333","Normal","20110","1642495278110","L' F U' L' D2 B R B R U' D2 F U2 R2 F' U2 R2 B L2 U2","0",""
"333","Normal","19350","1642495361840","D2 F U2 F U2 L2 F L2 R2 B' R2 D' B' R D U' R B L B' R'","0",""
"333","Normal","25210","1642495430214","B2 U' R2 F2 U' L2 F2 R2 U F' D2 L2 U R U2 L F D2 L' F","0",""
"333","Normal","14840","1642495480002","F' D2 F' D2 L2 F' U2 F' R2 F' L R' D F L B' F D2 R2 U'","0",""
"333","Normal","20200","1642495530973","F2 U' D B' L2 D' R L2 D' L' F' U2 D2 B' L2 B U2 D2 R2 F'","0",""
"333","Normal","21920","1642495570907","F R2 U2 R2 D2 R2 F' U2 R2 B' D' L2 B' D2 L D' U2 R' D2 U","0",""
"555","Normal","303130","1642498140668","F' Bw' Uw2 F2 Dw B' F' Rw' F2 L Lw' B Dw' Bw2 F Dw' L2 Uw F Lw B Fw Bw' Lw R F L2 U R' Lw' Bw2 L2 D' Dw Lw' Bw Rw' B2 L Dw' R Fw' Bw B' R' Lw2 Rw' F' B' Lw' D' Dw2 Fw D Uw2 Dw2 Bw Uw' Rw2 Lw","0",""
"555","Normal","264710","1642498585553","Lw2 Dw B R Uw Rw Lw' D2 Fw' Lw2 Uw R B2 Uw' Dw2 Bw F Fw2 Dw2 F2 L D2 R Rw2 F Dw' Fw B Bw' U' L Bw2 Uw2 Lw' L' Rw2 Dw' Bw' Rw Bw R Lw' Dw2 L2 Bw' Lw Bw2 U2 Lw2 B2 F2 Lw' Uw2 Fw2 R2 Dw R' U' Fw Dw","0",""
"333","Normal","19180","1642500109152","L2 D F2 U2 L2 U' B2 R2 U B2 U R U' F U' L2 F L' D2 R2 B'","0",""
"333","Normal","22580","1642500150896","U B2 D L2 D' U2 L2 B2 U2 F' D R2 D2 F' D B2 U F R'","0",""
"333","Normal","22950","1642500196628","B2 D' L2 D' F2 U L2 D' U' B D2 L' D2 F' U2 B R' B2 D2","0",""
"333","Normal","17930","1642500236413","U2 L' D B' U' D L U' D' B' U2 R' D2 R D2 F2 R' D2 B2 R","0",""
"333","Normal","16520","1642500273665","U2 R2 F R2 D2 U2 F' U2 L' R' F U B2 F D L' D L F'","0",""
"333","Normal","21240","1642500312211","L2 B R D B' D2 L2 F R D2 B L2 F D2 L2 F B R2 L2","0",""
"333","Normal","17370","1642500349196","D R' L2 B' R2 D R' D R D2 B2 U F2 U' F2 L2 F2 R2 F2 D'","0",""
"333","Normal","22490","1642500390600","F2 D L2 D' R2 B2 U' F2 L2 D B2 L B F2 L' D B R' D2 F U2","0",""
"333","Normal","19940","1642500431319","L2 D U R2 U' L2 R2 F2 U R' F D2 R' B2 R B' R U2 R2 U'","0",""
"333","Normal","24320","1642500480312","R' F' R2 L2 U2 L' U L2 U B2 L U2 L U2 L D2 F2 R'","0",""
"333","Normal","16760","1642500517758","D F2 L2 U2 R2 F2 L2 B2 R2 U R' B' L D U L' R2 D F2","0",""
"333","Normal","18070","1642500561564","U2 F' U R F2 U' F2 U D2 L' B' R2 U2 R2 U' B2 U' L2 D' B2","0",""
